title,artist,highest_peak,total_weeks_on_chart,first_appearance,hit_score,is_hit
Coffee,Miguel,78,6,2015-05-22,34,0
Coffee Bean,Travis Scott,68,1,2018-08-17,34,0
Coincidence,Sabrina Carpenter,26,28,2024-09-06,130,1
Cold,Maroon 5 Featuring Future,16,210,2017-03-03,504,1
Cold As You,Luke Combs,32,210,2020-11-06,488,1
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,26,190,2021-07-16,454,1
Cold December,Rod Wave,38,21,2022-01-28,104,0
Cold Heart (PNAU Remix),Elton John & Dua Lipa,7,1378,2021-08-27,2849,1
Cold One,Eric Church,88,21,2014-08-22,54,0
Cold Water,Major Lazer Featuring Justin Bieber & MO,2,378,2016-08-12,854,1
Cold Wind Blows,Eminem,71,1,2010-07-09,31,0
Colder Weather,Zac Brown Band,29,210,2011-02-04,491,1
Collage,Gunna,76,1,2024-05-24,26,0
Collard Greens,ScHoolboy Q Featuring Kendrick Lamar,92,36,2013-11-01,80,0
"Colombia, Mi Encanto",Carlos Vives,100,1,2022-02-11,2,0
Come & Get It,Selena Gomez,6,253,2013-04-26,600,1
Come & Go,Juice WRLD x Marshmello,2,210,2020-07-24,518,1
Come And See Me,PARTYNEXTDOOR Featuring Drake,55,300,2016-04-22,645,1
Come Around Me,Justin Bieber,86,1,2020-02-28,16,0
Come Away To The Water,Maroon 5 Featuring Rozzi Crane,83,1,2012-04-06,19,0
Come Back As A Country Boy,Blake Shelton,81,91,2022-01-14,201,1
Come Back Song,Darius Rucker,37,210,2010-07-30,483,1
Come Back To Earth,Mac Miller,91,1,2018-09-21,11,0
Come Back...Be Here (Taylor's Version),Taylor Swift,87,1,2021-11-26,15,0
Come Get Her,Rae Sremmurd,56,190,2015-10-02,424,1
Come Get It Bae,Pharrell Williams,23,120,2014-05-23,317,1
Come Home,Faith Hill,82,1,2011-11-25,20,0
Come Join The Murder,The White Buffalo & The Forest Rangers,93,1,2014-12-26,9,0
Come Out And Play,Billie Eilish,69,1,2018-12-07,33,0
Come Over,Kenny Chesney,23,210,2012-06-01,497,1
Come See Me,Rod Wave,19,21,2023-09-15,123,1
Come This Way,Lil Uzi Vert,83,1,2020-03-27,19,0
Come Through,H.E.R. Featuring Chris Brown,64,171,2021-05-07,378,1
Come Thru,Drake,87,1,2013-10-11,15,0
Come Thru,Summer Walker & Usher,42,190,2019-10-18,438,1
Come To Life,Kanye West,77,1,2021-09-10,25,0
Come Wake Me Up,Rascal Flatts,52,210,2012-08-10,468,1
Come With Me Now,KONGOS,31,231,2014-04-18,531,1
Comfortable,K Camp,54,120,2015-08-21,286,1
Comin Out Strong,Future Featuring The Weeknd,48,6,2017-03-17,64,0
Coming Home,Diddy - Dirty Money Featuring Skylar Grey,11,300,2010-12-10,689,1
Coming Home,Keith Urban Featuring Julia Michaels,50,28,2018-07-06,106,0
Commas,Future,55,210,2015-04-17,465,1
Commercial,Lil Baby Featuring Lil Uzi Vert,23,3,2020-03-13,83,0
Common Ground,Jack Harlow,96,1,2023-05-12,6,0
Company,Justin Bieber,53,78,2015-12-04,203,1
Compass,Lady Antebellum,46,210,2013-11-22,474,1
Complete Mess,5 Seconds Of Summer,85,6,2022-04-15,27,0
Complicated,Mac Miller,63,1,2020-01-31,39,0
Computer Murderers,Lil Durk,61,1,2022-04-01,41,0
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,22,325,2019-02-08,728,1
Conceited,SZA,58,3,2022-12-23,48,0
Coney Island,Taylor Swift Featuring The National,63,1,2020-12-25,39,0
Confession,Florida Georgia Line,53,210,2016-01-15,467,1
Confessions Of A Dangerous Mind,Logic,78,1,2019-04-05,24,0
Confident,Demi Lovato,21,210,2015-10-09,499,1
Confident,Justin Bieber Featuring Chance The Rapper,41,6,2013-12-27,71,0
Congratulations,Post Malone Featuring Quavo,8,1275,2016-12-30,2642,1
Conqueror,Empire Cast Featuring Estelle & Jussie Smollett,42,3,2015-03-20,64,0
Conscience,Kodak Black Featuring Future,93,1,2017-04-21,9,0
Consequences,Camila Cabello,51,78,2018-11-16,205,1
Consider Me Gone,Reba,38,124,2010-01-01,310,1
Constant Bulls**t,Summer Walker,49,1,2021-11-19,53,0
Constant Craving,Glee Cast,89,1,2011-12-16,13,0
Contigo,Karol G & Tiesto,61,10,2024-03-01,59,0
Contra,Logic,60,1,2018-03-23,42,0
Controlla,Drake,16,351,2016-05-20,786,1
Conversations,Juice WRLD,7,21,2020-07-24,135,1
Conversations In The Dark,John Legend,86,1,2020-01-24,16,0
Cool,Jonas Brothers,27,153,2019-04-19,379,1
Cool Again,Kane Brown,29,210,2020-05-08,491,1
Cool For The Summer,Demi Lovato,11,210,2015-07-17,509,1
Cool Girl,Tove Lo,84,15,2016-08-26,46,0
Cool Kids,Echosmith,13,276,2014-07-25,639,1
Cool With You,NewJeans,93,1,2023-08-04,9,0
Cooler Than A Bitch,Gunna Featuring Roddy Ricch,41,6,2020-06-05,71,0
Cooler Than Me,Mike Posner,6,435,2010-05-14,964,1
Cooped Up,Post Malone Featuring Roddy Ricch,12,120,2022-05-27,328,1
Cop Car,Keith Urban,41,171,2014-02-14,401,1
Cop Shot The Kid,Nas Featuring Kanye West,96,1,2018-06-29,6,0
Corazon,Maluma X Nego do Borel,87,45,2018-01-12,103,0
Corazon de Piedra,Xavi,73,10,2024-04-05,47,0
Cornelia Street,Taylor Swift,57,1,2019-09-06,45,0
Corso,"Tyler, The Creator",55,1,2021-07-09,47,0
Cost Of Livin',Ronnie Dunn,86,36,2011-09-09,86,0
Cost To Be Alive,Lil Baby & Rylo Rodriguez,57,1,2022-10-28,45,0
Costa Rica,"Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",75,1,2019-07-19,27,0
Cough Syrup,Glee Cast,65,1,2012-03-09,37,0
Cough Syrup,Young The Giant,95,6,2012-03-09,17,0
Could It Be,Charlie Worsham,94,3,2013-09-27,12,0
Could've Been,H.E.R. Featuring Bryson Tiller,76,1,2018-08-17,26,0
Count Me Out,Kendrick Lamar,20,3,2022-05-27,86,0
Countdown,Beyonce,71,120,2011-10-28,269,1
Counting Stars,OneRepublic,2,2346,2013-07-05,4790,1
Country Again,Thomas Rhett,42,210,2021-05-14,478,1
Country Boy,Aaron Lewis Featuring George Jones & Charlie Daniels,87,3,2011-03-11,19,0
Country Girl (Shake It For Me),Luke Bryan,22,210,2011-05-06,498,1
Country Must Be Country Wide,Brantley Gilbert,50,231,2011-07-08,512,1
Country Nation,Brad Paisley,94,3,2016-02-12,12,0
Country On,Luke Bryan,72,153,2022-07-15,334,1
Country Song,Seether,72,171,2011-03-25,370,1
Country Strong,Gwyneth Paltrow,81,3,2011-01-21,25,0
Cover Me Up,Morgan Wallen,52,55,2020-12-04,158,1
Cowboy Casanova,Carrie Underwood,11,119,2010-01-01,327,1
Cowboy Like Me,Taylor Swift,71,1,2020-12-25,31,0
Cowboys And Angels,Dustin Lynch,40,253,2012-06-01,566,1
Cowboys Cry Too,Kelsea Ballerini & Noah Kahan,50,6,2024-07-12,62,0
Cowgirl,Nicki Minaj Featuring Lourdiz,87,1,2023-12-22,15,0
Cowgirls,Morgan Wallen Featuring ERNEST,12,1225,2023-03-17,2538,1
Cozy,Beyonce,30,3,2022-08-12,76,0
Cozy Little Christmas,Katy Perry,53,3,2018-12-28,53,0
Cranes In The Sky,Solange,74,3,2016-10-21,32,0
Crash And Burn,Thomas Rhett,36,210,2015-04-24,484,1
Crash My Party,Luke Bryan,18,231,2013-04-26,544,1
Craving You,Thomas Rhett Featuring Maren Morris,39,210,2017-04-21,481,1
Crawl,Chris Brown,53,39,2010-01-01,125,1
Crawling Back To You,Daughtry,41,55,2011-10-21,169,1
Crazy,LE SSERAFIM,76,3,2024-09-13,30,0
Crazy,Lil Baby,83,1,2023-12-29,19,0
Crazy,Rod Wave,48,3,2023-09-29,58,0
Crazy Beautiful Life,Ke$ha,93,1,2010-12-10,9,0
Crazy Girl,Eli Young Band,30,666,2011-03-25,1402,1
Crazy Kids,Ke$ha Featuring will.i.am Or Juicy J,40,91,2013-06-14,242,1
Crazy Story 2.0,King Von Featuring Lil Durk,81,1,2020-11-20,21,0
Crazy Town,Jason Aldean,51,153,2010-04-30,355,1
Creature,Pop Smoke Featuring Swae Lee,57,1,2020-07-17,45,0
Creek Will Rise,Conner Smith,89,3,2024-02-09,17,0
Creepin',Eric Church,56,210,2012-09-07,464,1
Creepin',"Metro Boomin, The Weeknd & 21 Savage",3,1128,2022-12-16,2353,1
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,45,231,2017-07-14,517,1
Crew Love,Drake Featuring The Weeknd,80,210,2012-04-06,440,1
Criminal,Britney Spears,55,21,2011-10-28,87,0
Criminal,Natti Natasha x Ozuna,95,6,2017-12-22,17,0
Criminals,Meghan Trainor,100,1,2024-11-22,2,0
Crocodile Tearz,J. Cole,19,3,2024-04-19,87,0
Crocodile Teeth,Nicki Minaj & Skillibeng,100,1,2021-05-28,2,0
Crooked Smile,J. Cole Featuring TLC,27,210,2013-07-05,493,1
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,25,55,2019-06-07,185,1
Cross Roads,YoungBoy Never Broke Again,76,1,2020-09-25,26,0
Cross The Globe,Lil Durk Featuring Juice WRLD,68,1,2023-06-09,34,0
Crown,JAY-Z,100,1,2013-07-26,2,0
Crown,Kendrick Lamar,41,1,2022-05-27,61,0
Cruel Summer,Taylor Swift,1,1485,2019-09-06,3069,1
Cruise,Florida Georgia Line Featuring Nelly,4,1485,2012-08-31,3066,1
Cruisin' For A Bruisin',"Ross Lynch, Grace Phipps And Jason Evigan",82,6,2013-08-09,30,0
Crush A Lot,Lil Baby,82,1,2018-12-14,20,0
Crush Em,Lil Uzi Vert,52,1,2023-07-14,50,0
Crushed Up,Future,43,15,2019-01-18,87,0
Crushin' It,Brad Paisley,66,120,2015-05-15,274,1
Cry,Benson Boone,60,10,2024-04-19,60,0
Cry,Cassadee Pope,60,1,2013-01-04,42,0
Cry Baby,Megan Thee Stallion Featuring DaBaby,28,210,2020-12-04,492,1
Cry No More,G Herbo Featuring Polo G & Lil Tjay,81,1,2021-07-16,21,0
Cry Pretty,Carrie Underwood,48,78,2018-04-27,208,1
Cry Your Heart Out,Adele,44,1,2021-12-03,58,0
Cryin' For Me (Wayman's Song),Toby Keith,73,75,2010-01-01,177,1
Cryin' Like A Bitch!,Godsmack,74,6,2010-03-19,38,0
Crying In The Club,Camila Cabello,47,45,2017-06-09,143,1
Crying On A Suitcase,Casey James,88,45,2013-01-04,102,0
Cuando Me Enamoro,Enrique Iglesias Featuring Juan Luis Guerra,89,15,2010-07-16,41,0
Cuban Links,Rod Wave & Kevin Gates,92,6,2019-12-06,20,0
Cuddle My Wrist,Future,71,1,2018-07-20,31,0
Cudi Montage,KIDS SEE GHOSTS,69,1,2018-06-22,33,0
Cuff It,Beyonce,6,630,2022-08-12,1354,1
Cuffed,Juice WRLD,95,1,2024-12-13,7,0
Culture,Migos Featuring DJ Khaled,93,1,2017-02-17,9,0
Cupid,Fifty Fifty,17,325,2023-03-31,733,1
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,6,990,2013-01-11,2074,1
Currents,Drake,23,1,2022-07-01,79,0
Curtains,Ed Sheeran,97,1,2023-05-19,5,0
Curve,Gucci Mane Featuring The Weeknd,67,6,2017-10-06,45,0
Cut Her Off,KCamp Featuring 2 Chainz,49,210,2014-04-25,471,1
Cut It,O.T. Genasis Featuring Young Dolph,35,210,2016-03-11,485,1
Cybertruck,Bad Bunny,30,3,2023-10-27,76,0
D.A.R.E.,Rod Wave,95,1,2024-10-25,7,0
D4L,"Future, Drake & Young Thug",19,3,2020-05-15,87,0
DDU-DU DDU-DU,BLACKPINK,55,1,2018-06-29,47,0
DFMU,Ella Mai,85,10,2022-06-03,35,0
DHL,Frank Ocean,98,1,2019-11-01,4,0
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,4,595,2010-07-30,1286,1
DJ Play A Christmas Song,Cher,90,3,2023-12-29,16,0
DNA,BTS,67,10,2017-10-06,53,0
DNA.,Kendrick Lamar,4,210,2017-05-05,516,1
DND,Polo G,84,1,2020-04-24,18,0
DONE.,The Band Perry,43,210,2013-03-29,477,1
DROP,DaBaby Featuring A Boogie Wit da Hoodie & London On Da Track,71,1,2020-05-01,31,0
Daddy,Blueface & Rich The Kid,78,10,2019-08-09,42,0
Daddy,PSY Featuring CL,97,1,2015-12-18,5,0
Daddy Lessons,Beyonce,41,3,2016-05-13,65,0
Daechwita,Agust D,76,1,2020-06-05,26,0
Dah Dah DahDah,Nardo Wick,48,66,2022-08-12,184,1
Daisies,Katy Perry,40,28,2020-05-29,116,0
Dakiti,Bad Bunny & Jhay Cortez,5,406,2020-11-13,907,1
Damage,H.E.R.,44,210,2020-11-06,476,1
Damaged,Kid Cudi,91,1,2020-12-25,11,0
Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,36,45,2018-05-04,154,1
Damn Strait,Scotty McCreery,32,210,2022-04-15,488,1
Dance (A$$),Big Sean Featuring Nicki Minaj,10,300,2011-10-21,690,1
Dance Again,Jennifer Lopez Featuring Pitbull,17,171,2012-04-20,425,1
Dance For You,Beyonce,78,120,2012-09-21,262,1
Dance Like We're Making Love,Ciara,100,1,2015-08-07,2,0
Dance Monkey,Tones And I,4,666,2019-10-18,1428,1
Dance The Night,Dua Lipa,6,630,2023-06-09,1354,1
Dancin' Away With My Heart,Lady Antebellum,46,190,2011-09-16,434,1
Dancin' In The Country,Tyler Hubbard,23,276,2023-02-10,629,1
Dancing Crazy,Miranda Cosgrove,100,1,2011-04-01,2,0
Dancing In The Flames,The Weeknd,14,105,2024-09-27,296,1
Dancing On My Own,Calum Scott,93,3,2017-02-10,13,0
Dancing Queen,Glee Cast,74,1,2011-05-27,28,0
Dancing Through Life,"Jonathan Bailey Featuring Ariana Grande, Ethan Slater, Marissa Bode & Cynthia Erivo",86,3,2024-12-06,20,0
Dancing With A Stranger,Sam Smith & Normani,7,1035,2019-01-25,2163,1
Dancing With The Devil,Demi Lovato,56,3,2021-04-16,50,0
Danger,Lil Baby,69,1,2022-10-28,33,0
Danger,Migos & Marshmello,82,1,2017-12-29,20,0
Danger (Spider),Offset & JID,95,1,2023-06-16,7,0
Dangerous,"21 Savage, Lil Durk & Metro Boomin",35,3,2024-01-26,71,0
Dangerous,David Guetta Featuring Sam Martin,56,120,2014-11-07,284,1
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,31,210,2018-07-20,489,1
Dangerous,Morgan Wallen,62,10,2021-01-22,58,0
Dangerous Woman,Ariana Grande,8,231,2016-04-01,554,1
Danny Phantom,Trippie Redd Featuring XXXTENTACION,92,1,2021-09-03,10,0
Danny's Song,The Swon Brothers,66,3,2013-06-28,40,0
Danza Kuduro,Don Omar & Lucenzo,82,15,2011-05-20,48,0
Dare (La La La),Shakira,53,66,2014-06-06,179,1
Dark Days,21 Savage & Mariah The Scientist,70,1,2024-01-26,32,0
Dark Fantasy,"Kanye West Featuring Teyana Taylor, Nicki Minaj & Bon Iver",60,1,2010-12-10,42,0
Dark Horse,Katy Perry Featuring Juicy J,1,1653,2013-10-04,3405,1
Dark Knight Dummo,Trippie Redd Featuring Travis Scott,72,26,2017-12-29,80,0
Dark Necessities,Red Hot Chili Peppers,67,3,2016-07-08,39,0
Dark Queen,Lil Uzi Vert,91,3,2017-09-15,15,0
Dark Red,Steve Lacy,78,15,2022-09-30,52,0
Dark Side,Kelly Clarkson,42,120,2012-07-06,298,1
Dark Side Of The Moon,Lil Wayne Featuring Nicki Minaj,26,1,2018-10-12,76,0
Dark Times,The Weeknd Featuring Ed Sheeran,91,6,2015-09-18,21,0
Darkness,Eminem,28,3,2020-01-31,78,0
Darlin' Don't Go,Sundance Head,67,1,2016-12-30,35,0
"Darling, I","Tyler, The Creator Featuring Teezo Touchdown",15,15,2024-11-08,115,0
Darte Un Beso,Prince Royce,78,78,2013-09-06,178,1
Dat Right There,"Summer Walker, Pharrell Williams & The Neptunes",77,1,2021-11-19,25,0
Daughter,Beyonce,37,1,2024-04-12,65,0
Dawn FM,The Weeknd,65,1,2022-01-21,37,0
Dawns,Zach Bryan Featuring Maggie Rogers,42,210,2023-02-10,478,1
Day Drinking,Little Big Town,40,210,2014-06-20,480,1
Daydreaming,Harry Styles,24,3,2022-06-03,82,0
Daylight,David Kushner,33,496,2023-04-28,1059,1
Daylight,Drake,8,6,2023-10-20,104,0
Daylight,Harry Styles,13,10,2022-06-03,107,0
Daylight,Maroon 5,7,325,2012-12-21,743,1
Daylight,Taylor Swift,89,1,2019-09-06,13,0
Days In The East,Drake,95,1,2019-08-16,7,0
Days Of Gold,Jake Owen,83,45,2013-10-25,107,0
Days That End In Why,Morgan Wallen,57,3,2022-12-16,49,0
Daywalker!,Machine Gun Kelly & CORPSE,88,1,2021-03-26,14,0
De Museo,Bad Bunny,94,1,2021-07-23,8,0
De Una Vez,Selena Gomez,92,1,2021-01-29,10,0
Dead Right Now,Lil Nas X,72,1,2021-10-01,30,0
Dead Trollz,YoungBoy Never Broke Again,72,1,2020-09-25,30,0
Dear Future Husband,Meghan Trainor,14,300,2014-09-26,686,1
Dear Hate,Maren Morris Featuring Vince Gill,91,1,2017-10-27,11,0
Dear John,Taylor Swift,54,1,2010-11-12,48,0
Dear John (Taylor's Version),Taylor Swift,26,1,2023-07-21,76,0
Dear Reader,Taylor Swift,45,3,2022-11-04,61,0
Death,Melanie Martinez,95,3,2023-03-31,11,0
Death,Trippie Redd Featuring DaBaby,59,28,2019-11-29,97,0
Death Ain't Easy,Lil Durk,93,1,2021-01-08,9,0
Death Bed,Powfu Featuring beabadoobee,23,351,2020-03-27,779,1
Death By A Thousand Cuts,Taylor Swift,67,1,2019-09-06,35,0
Death Of A Bachelor,Panic! At The Disco,92,1,2016-02-05,10,0
Deck The Halls,Nat King Cole,16,136,2020-12-25,356,1
Dedicate,Lil Wayne,14,3,2018-10-12,92,0
Dedication,Nipsey Hussle Featuring Kendrick Lamar,93,3,2019-04-12,13,0
Dedication To My Ex (Miss That),Lloyd Featuring Andre 3000 & Lil Wayne,79,15,2011-10-14,51,0
Deep End,Lil Baby,97,1,2018-10-19,5,0
Deep End Freestyle,Sleepy Hallow,80,3,2020-06-19,26,0
Deep Pockets,Drake,32,1,2020-05-15,70,0
Deep Reverence,Big Sean Featuring Nipsey Hussle,82,1,2020-09-18,20,0
Deep Satin,Zach Bryan,45,1,2023-10-06,57,0
Deeper Well,Kacey Musgraves,76,1,2024-03-29,26,0
Defying Gravity,Cynthia Erivo Featuring Ariana Grande,44,10,2024-12-06,76,0
Deja Vu,3OH!3,75,1,2010-06-18,27,0
Deja Vu,J. Cole,7,210,2016-12-30,513,1
Deja Vu,Lauren Duski,43,1,2017-06-09,59,0
Deja Vu,Olivia Rodrigo,3,435,2021-04-16,967,1
Deja Vu,Post Malone Featuring Justin Bieber,75,3,2016-09-30,31,0
Dejame Entrar,Rauw Alejandro,96,1,2024-11-29,6,0
Deli,Ice Spice,41,91,2023-08-04,241,1
Delicate,Taylor Swift,12,630,2018-03-23,1348,1
Delirious (Boneless),"Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink",90,6,2014-09-05,22,0
Delresto (Echoes),Travis Scott & Beyonce,25,3,2023-08-11,81,0
Demeanor,Pop Smoke Featuring Dua Lipa,86,1,2021-07-30,16,0
Demon,Lil Wayne,81,1,2018-10-12,21,0
Demon High,Lil Uzi Vert,61,1,2021-11-12,41,0
Demon Time,Trippie Redd Featuring Ski Mask The Slump God,94,1,2021-09-03,8,0
Demons,Doja Cat,46,3,2023-09-15,60,0
Demons,Drake Featuring Fivio Foreign & Sosa Geek,34,3,2020-05-15,72,0
Demons,Imagine Dragons,6,1891,2013-01-25,3876,1
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,90,6,2019-01-04,22,0
Depression & Obsession,XXXTENTACION,91,1,2017-09-15,11,0
Desert Eagle,Beyonce,65,1,2024-04-12,37,0
Deserve You,Justin Bieber,76,1,2021-04-02,26,0
Desesperados,Rauw Alejandro & Chencho Corleone,91,36,2022-04-15,81,0
Desires,Drake Featuring Future,27,3,2020-05-15,79,0
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1329,2017-02-03,2757,1
Despecha,Rosalia,63,78,2022-08-19,193,1
Desperate Man,Eric Church,68,120,2018-07-27,272,1
Despues de La Playa,Bad Bunny,6,210,2022-05-20,514,1
Dessert,Dawin,68,66,2015-12-25,164,1
Determinate,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko",51,6,2011-04-29,61,0
Detox,Lil Baby,25,10,2022-09-16,95,0
Deuces,Chris Brown Featuring Tyga & Kevin McCall,14,378,2010-07-16,842,1
Devil Don't Know,Morgan Wallen,29,6,2023-03-17,83,0
Devil I've Been,Post Malone Featuring ERNEST,66,1,2024-08-30,36,0
Devil Is A Lie,Tommy Richman,32,91,2024-06-28,250,1
Di Que Si,Grupo Marca Registrada X Grupo Frontera,89,6,2023-04-28,23,0
Dial Drunk,Noah Kahan With Post Malone,25,300,2023-06-23,675,1
Diamond Rings And Old Barstools,Tim McGraw With Catherine Dunn,55,153,2015-03-27,351,1
Diamond Teeth Samurai,YoungBoy Never Broke Again,59,15,2018-04-20,71,0
Diamonds,Rihanna,1,378,2012-10-12,855,1
Diamonds,Sam Smith,39,210,2020-10-02,481,1
Diamonds,YoungBoy Never Broke Again,86,1,2020-05-08,16,0
Diamonds Dancing,Drake & Future,53,36,2015-10-09,119,0
Diamonds Dancing,Young Thug & Gunna Featuring Travis Scott,46,1,2021-04-30,56,0
Diana,One Direction,11,1,2013-12-06,91,0
Diana,Pop Smoke Featuring King Combs,76,1,2020-07-17,26,0
Dibs,Kelsea Ballerini,58,153,2015-11-13,348,1
Diced Pineapples,Rick Ross Featuring Wale & Drake,71,136,2012-08-17,301,1
Dicked Down In Dallas,Trey Lewis,65,3,2020-12-11,41,0
Did It Again,Lil Tecca,64,28,2019-08-30,92,0
Did It First,Ice Spice & Central Cee,51,15,2024-07-26,79,0
Did It For The Girl,Greg Bates,66,136,2012-10-05,306,1
Did It On'em,Nicki Minaj,49,120,2011-03-18,291,1
Did Shit To Me,Lil Durk Featuring Doodie Lo,95,1,2022-07-08,7,0
Didn't You Know How Much I Loved You,Kellie Pickler,97,3,2010-02-26,9,0
Die 4 Me,Halsey,100,1,2023-03-10,2,0
Die A Happy Man,Nelly,83,1,2016-02-26,19,0
Die A Happy Man,Thomas Rhett,21,465,2015-10-09,1009,1
Die Alone,Gunna & Chris Brown Featuring Yung Bleu,92,1,2022-01-21,10,0
Die For Me,Post Malone Featuring Future & Halsey,20,15,2019-09-20,110,0
Die For You,Joji,53,6,2022-11-18,59,0
Die For You,Justin Bieber Featuring Dominic Fike,81,1,2021-04-02,21,0
Die For You,The Weeknd & Ariana Grande,1,1378,2016-12-16,2855,1
Die From A Broken Heart,Maddie & Tae,22,325,2020-04-24,728,1
Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer",5,15,2022-05-27,125,1
Die In Your Arms,Justin Bieber,17,3,2012-06-15,89,0
Die With A Smile,Lady Gaga & Bruno Mars,2,171,2024-08-30,440,1
Die Young,Ke$ha,2,253,2012-10-12,604,1
Die Young,Roddy Ricch,99,3,2019-05-17,7,0
Die Young,Sleepy Hallow Featuring 347aidan,60,15,2022-06-10,70,0
Died And Came Back,Lil Uzi Vert,78,1,2023-07-14,24,0
Diet Pepsi,Addison Rae,54,91,2024-09-20,228,1
Difference (Interlude),XXXTENTACION,84,1,2018-12-21,18,0
Difference Is,Lil Durk Featuring Summer Walker,73,1,2022-03-25,29,0
Different 'Round Here,Riley Green Featuring Luke Combs,60,66,2023-11-24,172,1
Different For Girls,Dierks Bentley Featuring Elle King,42,210,2016-06-17,478,1
Digital Dash,Drake & Future,62,28,2015-10-09,94,0
Digits,Young Thug,93,1,2016-04-15,9,0
Dinero,Jennifer Lopez Featuring DJ Khaled & Cardi B,80,1,2018-06-08,22,0
Dior,Pop Smoke,22,231,2020-02-28,540,1
Dip,Tyga & Nicki Minaj,63,36,2018-11-09,109,0
Diplomatic Immunity,Drake,7,6,2018-02-02,105,0
Dirt,Florida Georgia Line,11,210,2014-07-25,509,1
Dirt,Key Glock,88,1,2023-03-10,14,0
Dirt Cheap,Cody Johnson,43,210,2024-04-26,477,1
Dirt On My Boots,Jon Pardi,37,210,2016-12-23,483,1
Dirt Road Anthem,Jason Aldean,7,378,2011-04-22,849,1
Dirty,Jessie Murph With Teddy Swims,79,1,2024-08-16,23,0
Dirty Dancer,Enrique Iglesias With Usher Featuring Lil Wayne,18,78,2011-05-27,238,1
Dirty Iyanna,YoungBoy Never Broke Again,67,1,2019-12-27,35,0
Dirty Laundry,Carrie Underwood,48,136,2016-11-04,324,1
Dirty Picture,Taio Cruz Featuring Ke$ha,96,1,2010-06-18,6,0
Dirty Stick,YoungBoy Never Broke Again,98,1,2020-09-25,4,0
Dis & That,YoungBoy Never Broke Again,89,1,2022-02-04,13,0
Dis-ease,BTS,72,1,2020-12-04,30,0
Disaster,JoJo,87,1,2011-09-23,15,0
Disco,Surf Curse,91,1,2024-09-20,11,0
Disease,Lady Gaga,27,28,2024-11-08,129,1
Distraction,Kehlani,85,1,2016-12-16,17,0
Distraction,Polo G,39,3,2022-06-17,67,0
Ditto,NewJeans,82,15,2023-01-20,48,0
Dive,Ed Sheeran,49,3,2017-03-24,57,0
Dive,Kid Cudi,80,1,2020-12-25,22,0
Dive Bar,Garth Brooks & Blake Shelton,78,15,2020-02-07,52,0
Dive In,Trey Songz,77,78,2012-09-07,179,1
Do I,Luke Bryan,34,90,2010-01-01,246,1
Do I Make You Wanna,Billy Currington,47,190,2017-06-30,433,1
Do I Wanna Know?,Arctic Monkeys,70,210,2013-12-20,450,1
Do It,Chloe X Halle,63,66,2020-06-26,169,1
Do It,¥$: Ye & Ty Dolla $ign,52,3,2024-02-23,54,0
Do It Again,NLE Choppa & 2Rare,85,15,2023-02-03,45,0
Do It Again,Pia Mia Featuring Chris Brown & Tyga,71,66,2015-07-17,161,1
Do It Like Me,DLOW,45,120,2015-11-27,295,1
Do It Like You,Diggy Featuring Jeremih,80,36,2012-02-10,92,0
Do It On The Tip,Megan Thee Stallion Featuring City Girls & Hot Girl Meg,92,1,2020-12-04,10,0
Do It To It,Acraze Featuring Cherish,65,78,2021-12-31,191,1
Do Not Disturb,Drake,60,3,2017-04-07,46,0
Do Re Mi,blackbear,40,325,2017-05-12,710,1
Do The John Wall,Troop 41,76,36,2011-01-07,96,0
Do They Know It's Christmas?,Glee Cast,92,1,2011-12-30,10,0
Do They Know It's Christmas? (2014),Band Aid 30,63,1,2014-12-05,39,0
Do We Have A Problem?,Nicki Minaj X Lil Baby,2,91,2022-02-18,280,1
Do What U Want,Lady Gaga Featuring R. Kelly,13,190,2013-11-08,467,1
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",27,210,2016-08-26,493,1
Do You Remember,Chance The Rapper Featuring Death Cab For Cutie,95,1,2019-08-09,7,0
Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,10,189,2010-01-01,468,1
Do You Wanna Touch Me (Oh Yeah),Glee Cast Featuring Gwyneth Paltrow,57,1,2011-03-25,45,0
Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez",51,171,2014-01-10,391,1
Doctor (Work It Out),Pharrell & Miley Cyrus,74,1,2024-03-15,28,0
