title,artist,highest_peak,total_weeks_on_chart,first_appearance,hit_score,is_hit,join_key,track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Falling,Harry Styles,62,1,2019-12-27,40,0,falling_harry styles,1ZMiCix7XSAbfAJlEZWMCp,Falling,Harry Styles,88.0,7xV2TzoaVc0ycW7fwBwAml,Fine Line,2019-12-13,Fresh Essentials,4RFszTXlSMZFgpqIJS3754,r&b,hip pop,0.567,0.267,4.0,-6.502,1.0,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,240133.0
Falling,Trevor Daniel,17,741,2019-11-29,1565,1,falling_trevor daniel,4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,97.0,1Czfd5tEby3DbdYNdqzrCa,Falling,2018-10-05,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,latin,latin hip hop,0.784,0.43,10.0,-8.756,0.0,0.0364,0.123,0.0,0.0887,0.236,127.087,159382.0
Famous,Kanye West,34,105,2016-04-22,276,1,famous_kanye west,19a3JfW8BQwqHWUMbcqSx8,Famous,Kanye West,73.0,7gsWAHLeT0w7es6FofOXk1,The Life Of Pablo,2016-06-10,Feeling Accomplished,37i9dQZF1DWTDafB3skWPN,r&b,hip pop,0.465,0.735,6.0,-3.715,1.0,0.117,0.0711,0.0,0.0975,0.409,173.935,196040.0
Famous Hoes,NLE Choppa,83,1,2019-12-27,19,0,famous hoes_nle choppa,35Xf2ABjPzUXKz19akd7Jj,Famous Hoes,NLE Choppa,80.0,6KuvJ7yluj7KuMDm9ydXM1,Famous Hoes,2019-12-10,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.732,0.627,4.0,-5.693,0.0,0.161,0.346,0.0,0.261,0.332,81.481,135460.0
Far Away,Marsha Ambrosius,74,171,2011-04-01,368,1,far away_marsha ambrosius,5KVbaJP4IOZmZZlj5v4jp2,Far Away,Marsha Ambrosius,48.0,3l9KeT7TXfQKg8RhzoC6DI,Late Nights & Early Mornings,2011-02-25,The Sound of Urban Contemporary,07zF8MjQPsiYUXiAIGZ5TA,r&b,urban contemporary,0.433,0.668,9.0,-6.544,1.0,0.211,0.221,0.0,0.126,0.351,70.478,436880.0
Fast Lane,Bad Meets Evil,32,3,2011-05-20,74,0,fast lane_bad meets evil,6cTLMb7FncAoQNMUZPFrCT,Fast Lane,Bad Meets Evil,4.0,7CWSLPmiMIHXfETjpdOVT6,Hell: The Sequel (Deluxe),2011-01-01,Gangsta Rap/90's Hip-Hop,39IFMVQdRNdb7kVfyTvHjM,rap,gangster rap,0.614,0.868,1.0,-3.833,1.0,0.28,0.0484,0.0,0.231,0.361,115.913,249475.0
"Father Stretch My Hands, Pt. 1",Kanye West,37,276,2016-04-22,615,1,father stretch my hands pt 1_kanye west,4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,Kanye West,74.0,7gsWAHLeT0w7es6FofOXk1,The Life Of Pablo,2016-06-10,Feeling Accomplished,37i9dQZF1DWTDafB3skWPN,r&b,hip pop,0.724,0.573,7.0,-4.113,1.0,0.0549,0.118,0.0,0.538,0.438,113.088,135920.0
Faucet Failure,Ski Mask The Slump God,87,66,2019-03-08,145,1,faucet failure_ski mask the slump god,1ThmUihH9dF8EV08ku5AXN,Faucet Failure,Ski Mask The Slump God,82.0,0z0z4DcXhHiobX5ZKAw8Qn,STOKELEY,2018-11-30,GTA San Andreas Radio Los Santos,6m0BqpJfSP2m5xCOFjDRHw,rap,gangster rap,0.935,0.552,10.0,-9.373,0.0,0.335,0.111,0.0,0.0952,0.615,99.993,145627.0
Feed Me Dope,Future,68,1,2017-11-10,34,0,feed me dope_future,3lyeSiAIdLoZUHhV8psOTI,Feed Me Dope,Future,56.0,187UNqZ7MX3neMYkkevmdm,SUPER SLIMEY,2017-10-20,Trap Americana,7tkgK1tm9hYkWp7EFyOcAr,rap,trap,0.853,0.688,8.0,-6.509,0.0,0.296,0.0118,0.0,0.151,0.565,150.012,166693.0
Feel It Still,Portugal. The Man,4,1008,2017-07-07,2112,1,feel it still_portugal the man,6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,Portugal. The Man,81.0,4VzzEviJGYUtAeSsJlI9QB,Woodstock,2017-06-16,Today's Hits (Clean),7ENISpOJhocpMJVcGb0qcT,r&b,hip pop,0.801,0.795,1.0,-5.115,0.0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253.0
Feels Like Summer,Childish Gambino,54,3,2018-09-14,52,0,feels like summer_childish gambino,7p4vHnYXkxlzvfePJVpcTr,Feels Like Summer,Childish Gambino,71.0,15k99o4mZJ9mfpQGIOrZ45,Summer Pack,2018-07-11,School Dance 2019 (Squeaky Clean),0SqaMfNsngZCpPw0UuelA7,latin,latin hip hop,0.554,0.596,7.0,-8.214,1.0,0.13,0.162,0.00482,0.0805,0.255,165.728,297404.0
Felices Los 4,Maluma,48,210,2017-06-02,472,1,felices los 4_maluma,1RouRzlg8OKFeqc6LvdxmB,Felices los 4,Maluma,76.0,6MoaDh76Fsg0ogW2l7HAFx,F.A.M.E.,2018-05-18,Pop Latino 2019 - Mix Canciones Reggaeton & Pop Latino - Pop En Español 2019 Musica Para Bailar,5ifDekrUt5lbSIMTSzNNqB,latin,latin pop,0.766,0.756,5.0,-5.861,1.0,0.132,0.213,0.0,0.349,0.716,94.027,230000.0
Fight Night,Migos,69,136,2014-07-25,303,1,fight night_migos,1O8qWS9w2wI3jvPX8hg56W,Fight Night,Migos,52.0,1O5bk5UmXbFhHR9cbcAqtA,Fight Night,2014-04-08,Today's Hits (Clean),7ENISpOJhocpMJVcGb0qcT,r&b,hip pop,0.83,0.727,1.0,-5.366,1.0,0.304,0.188,0.0,0.228,0.863,89.855,215220.0
Fight Song,Rachel Platten,6,496,2015-05-01,1086,1,fight song_rachel platten,37f4ITSlgPX81ad2EvmVQr,Fight Song,Rachel Platten,79.0,0mFDIOqypzHp6Xd0el1hoT,Wildfire,2016-01-01,post teen pop,2ltt5ouiEO301o2jbxn30d,pop,post-teen pop,0.564,0.714,7.0,-4.987,1.0,0.129,0.0549,0.0,0.155,0.33,175.924,204013.0
Filthy,Justin Timberlake,9,21,2018-01-19,133,1,filthy_justin timberlake,1L3NV7VrCiuE8C5QlhdeQL,Filthy,Justin Timberlake,52.0,730MjVEfvrWeEloF42B5U1,Filthy,2018-01-05,Today's Hits (Clean),7ENISpOJhocpMJVcGb0qcT,r&b,hip pop,0.745,0.579,1.0,-5.771,1.0,0.138,0.0354,0.0118,0.246,0.645,97.002,293947.0
Firework,Katy Perry,1,780,2010-11-05,1659,1,firework_katy perry,4lCv7b86sLynZbXhfScfm2,Firework,Katy Perry,73.0,5BvgP623rtvlc0HDcpzquz,Katy Perry - Teenage Dream: The Complete Confection,2012-03-12,post teen pop,6rjxP7GQKoqqgoakzxl3PY,pop,post-teen pop,0.638,0.826,8.0,-4.968,1.0,0.0479,0.139,0.0,0.0803,0.649,124.072,227880.0
First Day Out,Tee Grizzley,48,210,2017-04-21,472,1,first day out_tee grizzley,0mGgkrD2phGmsBiDy58z1O,First Day Out,Tee Grizzley,48.0,36GrIe8TlIyy66QPVvd4mg,First Day Out,2017-01-06,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",3jPkaExIWXQWklcmmF5180,rap,southern hip hop,0.587,0.712,1.0,-6.312,1.0,0.414,0.173,0.0,0.126,0.374,97.991,254694.0
Flex (Ooh Ooh Ooh),Rich Homie Quan,26,378,2015-05-08,830,1,flex ooh ooh ooh_rich homie quan,2NVt7fxr5GsqTkGwYXcNTE,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,63.0,7GqQiRft9pHtZukB37mc6c,"Flex (Ooh, Ooh, Ooh)",2015-02-10,The Sound of Southern Hip Hop,18jT9NMRZifv6cMtK2jWD4,rap,southern hip hop,0.676,0.615,6.0,-7.534,0.0,0.0496,0.0384,0.0,0.341,0.883,163.993,176675.0
Flexicution,Logic,100,1,2016-07-22,2,0,flexicution_logic,2c8sgbZoEanC3QyFNZxUcA,Flexicution,Logic,66.0,0WMr3ulx5Mzi1B3C8LsHVA,Bobby Tarantino,2016-07-01,This Is Logic,37i9dQZF1DWTIuAboZgTMf,rap,hip hop,0.782,0.713,0.0,-6.576,0.0,0.0899,0.0619,0.00125,0.108,0.68,159.839,218947.0
Focus,H.E.R.,100,1,2018-04-13,2,0,focus_her,3tZs3nVjySLbL320lP4mvs,Focus,H.E.R.,68.0,0pV0Mx07aMApIpF19oSQgY,H.E.R.,2017-10-20,Today's Hits (Clean),7ENISpOJhocpMJVcGb0qcT,r&b,hip pop,0.415,0.313,1.0,-12.945,0.0,0.0561,0.255,1.4e-05,0.117,0.0875,84.953,200133.0
Follow God,Kanye West,7,21,2019-11-08,135,1,follow god_kanye west,2QpGZOhTCHHiKmpSO9FW4h,Follow God,Kanye West,85.0,0FgZKfoU2Br5sHOfvZKTI9,JESUS IS KING,2019-10-25,"Latest Hits 2020 - Pop, Hip Hop & RnB",7FqZlaYKkQmVnguJbHuj2a,r&b,hip pop,0.529,0.9,1.0,-3.503,1.0,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,104591.0
Futsal Shuffle 2020,Lil Uzi Vert,5,66,2019-12-27,227,1,futsal shuffle 2020_lil uzi vert,2Ec33AVlkTTq8BHFgBTdQs,Futsal Shuffle 2020,Lil Uzi Vert,91.0,4uTOUYhLrGRKkfxfPKTkuy,Futsal Shuffle 2020,2019-12-12,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.881,0.457,7.0,-8.191,0.0,0.156,0.0327,0.0,0.231,0.296,136.97,198913.0
Galway Girl,Ed Sheeran,53,15,2017-03-24,77,0,galway girl_ed sheeran,0afhq8XCExXpqazXczTSve,Galway Girl,Ed Sheeran,80.0,3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,ElectroPop 2020,4frhr6RQM2fMOm2mpvOVo6,pop,electropop,0.624,0.876,9.0,-3.374,1.0,0.1,0.0735,0.0,0.327,0.781,99.943,170827.0
Geronimo,Sheppard,53,231,2014-12-19,509,1,geronimo_sheppard,19cL3SOKpwnwoKkII7U3Wh,Geronimo,Sheppard,63.0,2Yi29VOccHCwktsZNqtxbt,Bombs Away,2015-03-10,2015 songs,6UJw1egIcZVfrBmcKs5uHH,edm,pop edm,0.705,0.78,7.0,-6.267,1.0,0.0805,0.456,0.00152,0.115,0.457,142.028,218228.0
Ghost Town,Adam Lambert,64,153,2015-07-03,342,1,ghost town_adam lambert,44aN5xKL3kGHvQ5bXVk6B8,Ghost Town,Adam Lambert,65.0,3kaQUt8Mp906u1fI0LDqO6,The Original High (Deluxe Version),2015-06-11,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.703,0.736,4.0,-5.709,0.0,0.046,0.186,1.92e-05,0.174,0.274,119.955,208330.0
Ghostin,Ariana Grande,25,3,2019-02-22,81,0,ghostin_ariana grande,2vdBo4ALPYbHRUPKgtE5iC,ghostin,Ariana Grande,73.0,2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",2019-02-08,Post Teen Pop,2Aud8PXoTGcyY5esHu4Aaz,pop,post-teen pop,0.287,0.364,9.0,-8.295,1.0,0.0306,0.418,1.8e-05,0.185,0.11,103.777,271467.0
Ginza,J Balvin,84,120,2015-09-25,256,1,ginza_j balvin,2C2TGgFzrTRIOdQS1vUN5h,Ginza,J Balvin,70.0,4cGc9Eeb3Gjff2Aq5ILLEf,Energía,2016-06-24,Fiesta Latina Mix 🎈🎉💃🏻🕺🏻☀️🏖,2kY6lVc5EcVfI5WNKmPQQG,latin,latin pop,0.73,0.809,5.0,-6.406,0.0,0.0876,0.208,0.0013,0.0804,0.825,101.965,171093.0
Glad You Came,The Wanted,3,703,2012-01-27,1503,1,glad you came_the wanted,5yDL13y5giogKs2fSNf7sj,Glad You Came,The Wanted,71.0,2hnaJ8ktG2FSP1EthsCo6N,Battleground (Deluxe Edition),2011-01-01,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.722,0.851,7.0,-3.873,0.0,0.0639,0.0319,0.0,0.108,0.452,126.885,197936.0
Go Get It,T.I.,77,1,2012-08-03,25,0,go get it_ti,3ZfACixzMNAbRcpGwEkLRe,Go Get It,T.I.,1.0,4XDEh0x3M1ajC6vxJ1PNCD,Trouble Man: Heavy is the Head,2012-12-18,RAP Gangsta,1Z1gW89x4MSBjkvVjGg7DQ,rap,gangster rap,0.366,0.667,1.0,-5.683,1.0,0.246,0.00212,0.0,0.398,0.51,76.627,217520.0
God Is A Woman,Ariana Grande,8,253,2018-07-27,598,1,god is a woman_ariana grande,5OCJzvD7sykQEKHH7qAC3C,God is a woman,Ariana Grande,80.0,3tx8gQqWbGwqIGZHqDNrGe,Sweetener,2018-08-17,post teen pop,3kvwJXPULhSUalL6ykJbn5,pop,post-teen pop,0.602,0.658,1.0,-5.934,1.0,0.0558,0.0233,6e-05,0.237,0.268,145.031,197547.0
God's Plan,Drake,1,666,2018-02-02,1431,1,gods plan_drake,6DCZcSspjsKoFjzjrWoCdn,God's Plan,Drake,86.0,1ATL5GLyefJaxhQzSPVrLX,Scorpion,2018-06-29,2010 - 2011 - 2012 - 2013 - 2014 - 2015 - 2016 - 2017 - 2018 - 2019 - 2020 TOP HITS,2DjIfVDXGYDgRxw7IJTKVb,edm,pop edm,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973.0
Gold,Kiiara,13,378,2016-06-10,843,1,gold_kiiara,6WhzFzROw3aq3rPWjgYlxr,Gold,Kiiara,61.0,4sbZHOW6I2LTTjlRJbhVtA,Gold,2015-10-26,EDM/POP,6gHk5RFrnALbDNJdaXKivi,edm,pop edm,0.6,0.412,8.0,-9.343,1.0,0.344,0.615,0.0025,0.134,0.408,113.049,225882.0
Gold On The Ceiling,The Black Keys,94,21,2012-06-22,48,0,gold on the ceiling_the black keys,5lN1EH25gdiqT1SFALMAq1,Gold on the Ceiling,The Black Keys,69.0,5DLhV9yOvZ7IxVmljMXtNm,El Camino,2011-12-06,Nikki Sixx's Top Pixx,5d1arTPDEr76KMg9geDinZ,rock,album rock,0.505,0.833,0.0,-4.632,1.0,0.0475,0.00772,7.9e-05,0.069,0.565,130.121,224333.0
Good As Hell,Lizzo,3,465,2019-09-06,1027,1,good as hell_lizzo,3Yh9lZcWyKrK9GjbhuS0hR,Good as Hell,Lizzo,83.0,4CA8GvVF7swZafg0zYh9qq,Good as Hell,2016-03-09,Most Popular 2020 TOP 50,1fqkbjEACMlekdddm5aobE,r&b,urban contemporary,0.682,0.919,0.0,-3.18,0.0,0.0875,0.256,0.0,0.442,0.535,95.982,159736.0
Good Feeling,Flo Rida,3,703,2011-09-16,1503,1,good feeling_flo rida,2LEF1A8DOZ9wRYikWgVlZ8,Good Feeling,Flo Rida,73.0,7eLwoxxWs6lfkVYJGkGNbk,Wild Ones,2012-06-22,School Dance 2019 (Squeaky Clean),0SqaMfNsngZCpPw0UuelA7,latin,latin hip hop,0.706,0.89,1.0,-4.444,0.0,0.0688,0.0588,0.00286,0.306,0.684,128.011,248133.0
Good News,Mac Miller,17,10,2020-01-24,103,0,good news_mac miller,3ClBKQkKoaUQ6UOhe2xlJK,Good News,Mac Miller,87.0,4CCaoRnCugI6RsHHBKiMLs,Good News,2020-01-09,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,latin,latin pop,0.794,0.32,1.0,-12.92,0.0,0.173,0.853,0.134,0.112,0.241,174.088,342040.0
Goodnight N Go,Ariana Grande,87,1,2018-08-31,15,0,goodnight n go_ariana grande,0Tf9Mwk7DwysEajSNGa8n2,goodnight n go,Ariana Grande,39.0,5KOu62BJwwCJTfyyAaEbZk,Sweetener,2018-08-17,Post Teen Pop,2Aud8PXoTGcyY5esHu4Aaz,pop,post-teen pop,0.694,0.453,1.0,-7.069,1.0,0.0397,0.0213,0.0,0.0795,0.24,110.909,189507.0
Goosebumps,Travis Scott,32,630,2016-09-23,1328,1,goosebumps_travis scott,6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,86.0,42WVQWuf1teDysXiOupIZt,Birds In The Trap Sing McKnight,2016-09-16,Trap Americana,7tkgK1tm9hYkWp7EFyOcAr,rap,trap,0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049,243837.0
Gorgeous,Taylor Swift,13,10,2017-11-10,107,0,gorgeous_taylor swift,12WvaS3V4dPRBU2o37vX69,Gorgeous,Taylor Swift,67.0,1Hrs3jLGexOvBoaPMoOQYJ,reputation (Big Machine Radio Release Special),2017-11-08,Post Teen Pop,2Aud8PXoTGcyY5esHu4Aaz,pop,post-teen pop,0.8,0.535,7.0,-6.684,1.0,0.135,0.0713,9.48e-06,0.213,0.451,92.027,209680.0
Graveyard,Halsey,34,210,2019-09-27,486,1,graveyard_halsey,6V9fHiv84WlVTg7CSnIVY2,Graveyard,Halsey,87.0,66QwiCFDLtRbrZ5Vs9wlL9,Graveyard,2019-09-13,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,latin,latin pop,0.667,0.583,11.0,-5.127,0.0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806.0
Green Light,Lorde,19,45,2017-03-17,171,1,green light_lorde,6ie2Bw3xLj2JcGowOlcMhb,Green Light,Lorde,73.0,2B87zXm9bOWvAJdkJBTpzF,Melodrama,2017-06-16,Post Teen Pop,2Aud8PXoTGcyY5esHu4Aaz,pop,post-teen pop,0.594,0.721,2.0,-7.812,1.0,0.0957,0.0209,8.55e-06,0.0879,0.253,128.942,234653.0
Grenade,Bruno Mars,1,666,2010-10-15,1431,1,grenade_bruno mars,4lLtanYk6tkMvooU0tWzG8,Grenade,Bruno Mars,75.0,6J84szYCnMfzEcvIcfWMFL,Doo-Wops & Hooligans,2010-10-05,Pop 2009-2011,3gV6KQYZKIuoWml0094vx6,latin,latin hip hop,0.706,0.558,2.0,-7.237,0.0,0.0593,0.146,0.0,0.118,0.227,110.443,223253.0
Gucci Gang,Lil Pump,3,285,2017-09-29,667,1,gucci gang_lil pump,43ZyHQITOjhciSUUNPVRHc,Gucci Gang,Lil Pump,74.0,2VVvm4zJlUQm9XmBCvGN6z,Lil Pump,2017-10-06,RAP Gangsta,1Z1gW89x4MSBjkvVjGg7DQ,rap,gangster rap,0.936,0.523,5.0,-6.71,1.0,0.0597,0.239,0.0,0.117,0.699,119.889,124056.0
Gummo,6ix9ine,12,204,2017-12-01,496,1,gummo_6ix9ine,0VtxQUpwnkeedz0QhhuOgA,GUMMO,6ix9ine,0.0,0rn5NTlUuUcigNcNfHvAUO,DAY69,2018-02-23,GANGSTA RAP,3DUkl93JjPdOyX83SJr5ms,rap,gangster rap,0.691,0.778,1.0,-4.957,1.0,0.134,0.0465,0.0,0.136,0.685,78.496,157643.0
Gyalchester,Drake,29,66,2017-04-07,203,1,gyalchester_drake,6UjfByV1lDLW0SOVQA4NAi,Gyalchester,Drake,70.0,1lXY618HWkwYKJWBRYR4MK,More Life,2017-03-18,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",3jPkaExIWXQWklcmmF5180,rap,southern hip hop,0.877,0.391,1.0,-8.196,1.0,0.063,0.0317,0.000502,0.0945,0.122,131.018,189230.0
HIGHEST IN THE ROOM,Travis Scott,1,253,2019-10-18,605,1,highest in the room_travis scott,3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,94.0,2uDTi1PlpSpvAv7IRAoAEU,HIGHEST IN THE ROOM,2019-10-04,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,latin,latin hip hop,0.598,0.427,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721.0
HP,Maluma,96,1,2019-06-07,6,0,hp_maluma,1LIqNVhaIgxXUt2eVoIQJ3,HP,Maluma,83.0,3YIUNL7qFE8NP3X3zaYSND,11:11,2019-05-17,Tusa - Karol G | China - Anuel AA | Estrenos Reggaeton y Música Urbana 2019,0T47pLnihK4xB8Bk9IQ0Dv,latin,reggaeton,0.837,0.791,4.0,-3.157,0.0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,184436.0
Habits (Stay High),Tove Lo,3,780,2014-06-13,1657,1,habits stay high_tove lo,18AJRdgUoO9EYn11N7xzaT,Habits (Stay High),Tove Lo,69.0,5Z5O36p7BivXzkucc0PAfw,Queen Of The Clouds,2014-09-24,ElectroPop,0cuHKz65ZPqBX1brG8djlg,pop,electropop,0.733,0.65,5.0,-3.539,1.0,0.0315,0.0703,6.59e-05,0.0829,0.348,110.003,209160.0
Hail To The King,Avenged Sevenfold,83,6,2013-08-02,29,0,hail to the king_avenged sevenfold,5anCkDvJ17aznvK5TED5uo,Hail to the King,Avenged Sevenfold,75.0,0ks45m1bsP2JsZpM5D2FFA,Hail to the King,2013-08-23,New Hard Rock,64BvJcehegyvhqQtV82Ddz,rock,hard rock,0.58,0.916,3.0,-4.358,0.0,0.0387,0.000297,0.0259,0.126,0.683,118.004,305907.0
Hand Me Downs,Mac Miller,64,1,2020-01-31,38,0,hand me downs_mac miller,2Yv2mHzr5AQavVdwQjEokV,Hand Me Downs,Mac Miller,72.0,5sY6UIQ32GqwMLAfSNEaXb,Circles,2020-01-17,Hip-Hop Central,37i9dQZF1DWY6tYEFs22tT,rap,hip hop,0.677,0.33,2.0,-11.198,1.0,0.149,0.474,0.000871,0.064,0.336,68.985,298440.0
HandClap,Fitz And The Tantrums,53,210,2016-10-14,467,1,handclap_fitz and the tantrums,4qRaZYiaOsSvWC7VgcxrI0,HandClap,Fitz and The Tantrums,67.0,4eoIRaV8z8v2LaXQSWy2LC,Fitz and The Tantrums (Deluxe Edition),2017-07-24,School Dance 2019 (Squeaky Clean),0SqaMfNsngZCpPw0UuelA7,latin,latin hip hop,0.636,0.836,8.0,-3.004,1.0,0.0427,0.00609,0.000157,0.0828,0.715,139.956,193253.0
Hard Times,Paramore,90,1,2017-05-12,12,0,hard times_paramore,0w5Bdu51Ka25Pf3hojsKHh,Hard Times,Paramore,74.0,1c9Sx7XdXuMptGyfCB6hHs,After Laughter,2017-05-12,Today's Hits (Clean),7ENISpOJhocpMJVcGb0qcT,r&b,hip pop,0.695,0.818,5.0,-5.379,0.0,0.0334,0.00647,4.87e-06,0.0219,0.916,119.965,182693.0
Harlem Shake,Baauer,1,210,2013-03-01,519,1,harlem shake_baauer,01XFgRZfZI7oBagNf1Loml,Harlem Shake,Baauer,62.0,5H0yFEG5FT0tccZRSdNvVU,Harlem Shake,2013-02-12,Trap Nation 🔊,5aPwKjwNHr6dnCejLcPTVx,rap,trap,0.452,0.794,0.0,-5.151,1.0,0.0483,0.0111,0.00182,0.416,0.282,137.825,196664.0
Head Over Boots,Jon Pardi,51,300,2016-03-18,649,1,head over boots_jon pardi,4ly1QBXEwYoDmje9rmEgC4,Head Over Boots,Jon Pardi,71.0,1DTBcVfk3zXPHRmgpY6rFZ,California Sunrise,2016-05-13,School Dance 2019 (Squeaky Clean),0SqaMfNsngZCpPw0UuelA7,latin,latin hip hop,0.563,0.688,7.0,-4.474,1.0,0.0262,0.0763,0.0,0.0863,0.622,108.008,202347.0
Hear Me Calling,Juice WRLD,38,10,2019-03-15,82,0,hear me calling_juice wrld,13ZyrkCDmRz5xY3seuAWYk,Hear Me Calling,Juice WRLD,79.0,1GYVNOzwhx1nMcIJDogSNp,Death Race For Love,2019-03-08,Sad Trap,7kzKtw5vug3IIxKfLadi8A,rap,trap,0.699,0.687,7.0,-3.997,0.0,0.106,0.308,3.63e-05,0.121,0.499,88.932,189977.0
Heart Attack,Demi Lovato,10,210,2013-03-15,510,1,heart attack_demi lovato,1V6gIisPpYqgFeWbMLI0bA,Heart Attack,Demi Lovato,74.0,6Kssm2LosQ0WyLukFZkEG5,Demi,2013-01-01,post teen pop,3kvwJXPULhSUalL6ykJbn5,pop,post-teen pop,0.504,0.785,8.0,-4.802,1.0,0.104,0.0738,0.0,0.239,0.502,173.968,210840.0
Heartless,The Weeknd,1,276,2019-12-06,651,1,heartless_the weeknd,57vxBYXtHMk6H1aD29V7PU,Heartless,The Weeknd,93.0,7vRcickwa6GCfY1qKKe4lK,Heartless,2019-11-27,New R&B‏‏​​   ‍,4I6rTSxqKl1LRvES2O9owQ,r&b,urban contemporary,0.531,0.75,10.0,-5.831,0.0,0.111,0.00632,7.6e-05,0.117,0.198,169.954,200080.0
Heathens,Twenty One Pilots,2,780,2016-07-08,1658,1,heathens_twenty one pilots,6i0V12jOa3mr6uu4WYhUBr,Heathens,Twenty One Pilots,81.0,3J8W9AOjQhnBLCX33m3atT,Heathens,2016-06-16,2015 songs,6UJw1egIcZVfrBmcKs5uHH,edm,pop edm,0.732,0.396,4.0,-9.348,0.0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920.0
Heaven,Avicii,83,1,2019-06-21,19,0,heaven_avicii,0vrmHPfoBadXVr2n0m1aqZ,Heaven,Avicii,80.0,6Ad1E9vl75ZB3Ir87zwXIJ,TIM,2019-06-06,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.592,0.873,9.0,-5.65,1.0,0.0275,0.0715,0.00982,0.142,0.516,122.011,277262.0
Hello,Adele,1,351,2015-11-13,801,1,hello_adele,4aebBr4JAihzJQR0CiIZJv,Hello,Adele,73.0,7uwTHXmFa1Ebi5flqBosig,25,2015-11-20,10er Playlist,1kEczIkZH8IgaWT2BiApxZ,pop,electropop,0.47,0.431,5.0,-6.129,0.0,0.0342,0.329,0.0,0.0854,0.289,157.98,295502.0
Here,Alessia Cara,5,595,2015-08-21,1285,1,here_alessia cara,0yKXxMgfRpYzVeIbPZss5B,Here,Alessia Cara,2.0,0yw6xPSj5WHurxd6l4VjtG,Here,2015-04-30,NEO FUNK AND SOUL,2WbTrS5D0V2TW6DiDkJBru,r&b,neo soul,0.382,0.816,0.0,-3.957,1.0,0.09,0.0867,0.0,0.0649,0.34,119.587,200226.0
Hero,Christopher Wilde,57,1,2010-03-05,45,0,hero_christopher wilde,3q3pZHncNkvIWJebMeuQqQ,Hero,Christopher Wilde,60.0,3FmqQtzrqovhBNjJfqTjsx,StarStruck,2010-01-01,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.333,0.902,3.0,-4.65,1.0,0.123,0.0279,0.0,0.115,0.601,185.539,196893.0
Hey Brother,Avicii,16,276,2013-12-20,636,1,hey brother_avicii,4RXpgGM7A4Hg7cFBoH5KyF,Hey Brother,Avicii,77.0,1s9tU91VJt4sU5owi29GD3,True,2013-01-01,10er Playlist,1kEczIkZH8IgaWT2BiApxZ,pop,electropop,0.545,0.78,7.0,-4.867,0.0,0.0436,0.0309,4.64e-05,0.0828,0.458,125.014,255093.0
"Hey, Soul Sister",Train,3,1419,2010-01-01,2935,1,hey soul sister_train,4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister",Train,82.0,1CwXS6MAz8Wo7K4TzW9iuR,"Save Me, San Francisco (Golden Gate Edition)",2010-12-01,post teen pop,2ltt5ouiEO301o2jbxn30d,pop,post-teen pop,0.673,0.886,1.0,-4.44,0.0,0.0431,0.185,0.0,0.0826,0.795,97.012,216773.0
